Name,Teff1,Teff1_err,Teff2,Teff2_err,Vmag,source,RAJ2000,DecJ2000,Period,Result,qual,AllWISE Name,allwise_ra_j2000,allwise_dec_j2000,query_rad,Arcsec Real Center Deviance from Catalog,include
FT Ori,9600,400,8600,300,9.29,AllWISE,93.49231,21.42755,3.1504438,YES,3,J061358.15+212539.1,93.4923062,21.4275367,2.000,0.04979595164,1
CU Cnc,3160,150,3125,150,11.81,AllWISE,127.90652,19.39428,2.771468,No,0,J083137.88+192332.9,127.9078342,19.3924934,2.000,7.98442441,1
TX Cnc,6537,200,6250,200,9.97,AllWISE,130.0071,18.99985,0.3828807,BEAUTIFUL!,3,J084001.67+185959.3,130.0069947,18.9998168,2.000,0.3974753789,1
HD 194495,19000,550,17800,600,7.06,AllWISE,306.295,21.48857,4.90494,maybe,2,J202510.80+212918.8,306.2950133,21.4885642,2.000,0.05223474698,1
BP Vul,7715,150,6810,150,9.95,AllWISE,306.38852,21.03833,1.94035,YES,3,J202533.24+210218.0,306.3885407,21.0383430,2.000,0.08799699084,1
AD Boo,6575,120,6145,120,9.44,AllWISE,218.80325,24.63926,2.0688069,YES,3,J143512.75+243821.3,218.8031445,24.6392562,2.000,0.3800462898,1
RT CrB,5134,100,5781,100,10.22,AllWISE,234.51262,29.4872,5.117143,YES,3,J153803.04+292913.9,234.5126684,29.4872210,2.000,0.1899340349,1
LV Her,6060,150,6030,150,10.97,AllWISE,263.885,23.17517,5.2674,maybe,2,J173532.41+231030.4,263.885044,23.1751198,2.000,0.2403128761,1
DI Her,17000,800,15100,700,8.47,AllWISE,283.35934,24.278,10.550164,YES,3,J185326.23+241640.7,283.3593233,24.2779869,2.000,0.07640994685,1
BK Peg,6265,85,6320,90,10.04,AllWISE,356.78528,26.56664,5.48991046,YES,3,J234708.44+263359.7,356.7851982,26.5666004,2.000,0.3271724682,1
AG Per,18200,800,17400,800,6.69,AllWISE,61.73262,33.44637,2.02870904,no,1,J040655.82+332646.7,61.7326091,33.4463324,2.000,0.1409329883,1
NP Per,6420,90,4540,160,11.24,AllWISE,63.74067,31.44557,2.2285889,YES,3,J041457.76+312644.0,63.7406703,31.4455774,2.000,0.02666188291,1
AR Aur,10950,300,10350,300,6.14,AllWISE,79.57875,33.76735,4.134651,no,1,J051818.90+334602.2,79.5787863,33.7672933,2.000,0.2423679781,1
HP Aur,5810,120,5160,120,11.17,AllWISE,77.59076,35.79629,1.4228191,YES,3,J051021.76+354746.4,77.5907037,35.7962345,2.000,0.2846036233,1
V432 Aur,6080,85,6685,85,8.05,AllWISE,84.38545,37.08674,3.08175,no,1,J053732.47+370512.6,84.3853193,37.0868433,2.000,0.5997364461,1
WW Aur,7960,420,7670,410,5.82,AllWISE,98.11327,32.4549,2.52501936,iffy,2,J063227.15+322717.5,98.1131276,32.4548777,2.000,0.5188878954,1
GX Gem,6195,100,6165,100,11.71,AllWISE,101.53804,34.41466,1.35003708,no,1,J064609.13+342452.5,101.5380491,34.4146087,2.000,0.1875631094,1
KX Cnc,5900,100,5843,100,7.19,AllWISE,130.69254,31.8626,31.21985,iffy,2,J084246.17+315145.1,130.6923775,31.8625285,2.000,0.6391242133,1
HD 71636,6950,140,6440,140,7.9,AllWISE,127.48463,37.07097,,,,J082956.31+370415.5,127.4846262,37.0709738,2.000,0.01934644152,1
YY Gem,3820,100,3820,100,9.83,AllWISE,113.6566,31.86974,0.81428254,no,1,J073437.28+315209.1,113.6553611,31.8692194,2.000,4.837812781,1
CV Boo,5760,150,5670,150,10.99,AllWISE,231.5814,36.98151,0.8469938,BEAUTIFUL,3,J152619.52+365853.5,231.5813455,36.9815468,2.000,0.2367390766,1
V501 Her,5683,100,5720,100,11.12,AllWISE,263.9311,30.64308,,,,J173543.44+303834.6,263.9310008,30.6429657,2.000,0.5448398708,1
BD+36 3317,10450,420,7623,328,8.77,AllWISE,283.59262,36.85207,4.30216,YES,3,J185422.23+365107.4,283.5926442,36.8520752,2.000,0.08910854499,1
