ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
86.3294911,-2.6791559,0.6059,0.5679,-0.0715,15.525,0.213,5.1,1.456E+00,15.092,null,0.3,7.498E-01,1,0,0000,BU,10,59475.53381421,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32.190473,331.444822
86.3286801,-2.6796537,0.3749,0.4191,-0.1361,15.247,0.128,8.5,1.194E+00,14.872,null,0.0,7.378E-01,1,0,0000,BU,10,59268.42866232,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.192425,325.349526
86.3289968,-2.6794441,0.4219,0.4897,-0.1577,15.369,0.137,7.9,1.330E+00,14.910,null,0.8,6.140E-01,1,0,0000,BU,10,58901.97428995,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.194619,327.781102
86.3286608,-2.6796658,0.5411,0.5477,-0.2415,15.485,0.163,6.7,5.056E-01,14.841,null,1.0,4.615E-01,1,0,0000,BU,5,59475.27238987,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.196156,325.203847
86.3402851,-2.6808727,1.0299,1.2472,-0.3149,16.128,0.450,2.4,1.099E+00,15.057,null,0.8,8.067E-01,1,0,0000,CU,10,56731.12338543,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32.203385,46.679105
86.3287943,-2.6795700,0.5221,0.5524,0.0088,15.442,0.181,6.0,6.853E-01,14.358,null,1.7,3.638E-01,1,0,0000,BU,5,59475.92601443,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.210834,326.255232
86.3289356,-2.6794773,0.5424,0.6398,-0.0781,15.598,0.211,5.2,1.123E+00,14.642,0.336,3.2,3.852E-01,1,0,0000,BB,10,58016.33059617,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.211808,327.336571
86.3285845,-2.6797111,0.4939,0.5982,0.1171,15.524,0.164,6.6,1.086E+00,15.177,null,0.3,7.946E-01,1,0,0000,BU,10,59632.95527873,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.220385,324.637680
86.3287937,-2.6795653,0.3999,0.4074,-0.0883,15.208,0.136,8.0,1.091E+00,14.507,null,1.3,5.330E-01,1,0,0000,BU,10,58537.68025337,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.226103,326.268753
86.3286995,-2.6796239,0.4622,0.5464,-0.1515,15.424,0.153,7.1,7.729E-01,14.727,null,0.9,5.113E-01,1,0,0000,BU,10,58015.87243448,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.241230,325.559910
86.3289150,-2.6794773,0.5250,0.4314,-0.0893,14.877,0.237,4.6,1.186E+00,14.308,0.321,3.4,3.223E-01,1,0,0000,BB,10,58379.89659480,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.251849,327.225781
86.3287189,-2.6796067,0.4357,0.4396,-0.1517,15.264,0.138,7.9,7.712E-01,14.593,0.364,3.0,9.803E-01,1,0,0000,BC,10,58743.78438213,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.252975,325.724327
86.3285801,-2.6797028,0.4265,0.5102,-0.1605,15.258,0.210,5.2,1.851E+00,14.610,0.327,3.3,5.058E-01,1,0,0000,BB,10,56730.92588440,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.253910,324.645477
86.3414236,-2.6916837,0.9591,1.0153,-0.4259,16.030,0.336,3.2,8.105E-01,15.344,null,0.3,1.047E+00,1,0,0000,BU,10,59633.15112538,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32.258110,121.438755
86.3283189,-2.6798806,0.6499,0.6464,-0.2924,15.854,0.249,4.4,5.009E-01,14.590,0.287,3.8,5.451E-01,1,0,0000,BB,10,57448.94565638,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.295372,322.628871
86.3286381,-2.6796470,0.3572,0.3850,-0.1263,15.292,0.124,8.7,2.673E+00,14.878,0.293,3.7,4.629E-01,1,0,0000,BB,10,57449.27342505,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.298329,325.153445
86.3248266,-2.6878627,0.5121,0.6853,0.1085,15.411,0.179,6.1,8.030E-01,15.207,null,-0.2,7.838E-01,1,0,P000,BU,10,59839.52764714,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32.306999,264.547482
86.3288943,-2.6794676,0.6057,0.4989,-0.2089,15.265,0.173,6.3,1.194E+00,15.097,null,-0.7,5.279E-01,1,0,0000,BU,10,56922.64116786,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.321535,327.148340
86.3425640,-2.6888831,1.6590,1.1554,0.5699,16.266,0.369,2.9,1.025E+00,15.204,null,-0.4,9.376E-01,1,0,0000,CU,10,56724.80182568,862003101351026800,17.940,null,17.168,0.521,11.063,0.164,8.869,0.510,null,null,null,null,null,null,null,32.334506,102.037234
86.3285844,-2.6796696,0.3984,0.3954,0.0920,15.066,0.128,8.5,1.299E+00,14.704,0.334,3.2,5.517E-01,1,0,0000,BB,10,59265.94480631,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.342546,324.790334
86.3288605,-2.6794820,0.4452,0.5258,-0.2191,15.318,0.162,6.7,7.288E-01,14.909,0.361,3.0,5.335E-01,1,0,0000,BC,10,59633.41242328,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.344182,326.917644
86.3285664,-2.6796755,0.3221,0.4139,-0.1626,14.767,0.117,9.3,1.792E+00,14.883,0.369,2.9,1.426E+00,1,0,0000,BC,10,58748.36395285,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.362578,324.675020
86.3289212,-2.6794366,0.4080,0.4838,-0.1559,15.458,0.144,7.5,2.008E+00,14.740,null,1.8,1.248E+00,1,0,0000,BU,10,57813.38631019,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.363124,327.399390
86.3286452,-2.6796184,0.3730,0.4200,-0.1007,15.218,0.123,8.9,9.861E-01,14.863,0.402,2.7,9.603E-01,1,0,0000,BC,10,59632.82462983,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.368337,325.294670
86.3248403,-2.6882018,0.2823,0.2928,-0.0689,14.852,0.094,11.6,1.199E+00,14.933,0.321,3.4,1.213E+00,1,0,P000,AB,10,58380.35475632,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32.396921,262.389477
86.3378237,-2.6789721,1.2389,1.3646,-0.3017,16.500,0.377,2.9,5.949E-01,14.542,null,0.7,7.134E-01,1,0,0000,CU,10,58537.22221792,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32.400863,26.737709
86.3288111,-2.6794952,0.6155,0.6486,-0.0585,15.670,0.201,5.4,1.999E+00,15.108,0.399,2.7,4.984E-01,1,0,0000,BC,10,58015.80685541,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.401803,326.608571
86.3286391,-2.6796102,0.3215,0.3002,-0.1081,14.891,0.093,11.7,2.172E+00,14.937,0.387,2.8,5.801E-01,1,0,0000,AC,10,56731.65018196,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.405095,325.292502
86.3284157,-2.6797676,0.3490,0.3991,-0.1001,15.248,0.123,8.8,1.078E+00,14.808,0.364,3.0,8.684E-01,1,0,0000,BC,10,58170.57826589,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.411608,323.554434
86.3287958,-2.6795009,0.3518,0.3667,-0.0621,15.264,0.121,9.0,2.240E+00,14.295,0.272,4.0,2.802E-01,1,0,0000,BB,10,58170.70917030,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.415001,326.507411
